 1 2 3 4 5 6 7 8 9 0 1 2 3 4
   1 2 6 8 3           7   5                                                                                                         4                           5.86 2416 2416 0 2182 [0.5, 0.57, 0.74, 0.99, 0.88, 0.61, 0.87, 0.7]
 1   4 2 3   8     7                                                     6                                               5                                       5.916 2413 2413 0 2164 [0.5, 0.61, 0.69, 0.57, 0.98, 0.96, 0.85, 0.76]
 2 4   1 5 8 7       6             3                                                                                                                             5.111 2366 2366 0 2253 [0.54, 0.43, 0.87, 0.43, 0.63, 0.82, 0.71, 0.68]
 6 2 1   7   5 3             4                                       8                                                                                           5.014 2335 2335 0 2219 [0.46, 0.39, 0.75, 0.84, 0.67, 0.39, 0.59, 0.93]
 8 3 5 7   1 2                           4           6                                                                                                           4.235 2272 2272 0 2238 [0.55, 0.58, 0.31, 0.83, 0.37, 0.88, 0.41, 0.3]
 3   8   1     2 4       5 6                                                               7                                                                     4.693 2235 2235 0 2156 [0.45, 0.63, 0.26, 0.67, 0.71, 0.73, 0.92, 0.32]
   8 7 5 2     1 3       4                               6                                                                                                       4.071 2213 2213 0 2202 [0.6, 0.42, 0.64, 0.69, 0.33, 0.86, 0.29, 0.24]
       3   2 1   5       6         4     7                                             8                                                                         4.343 2141 2141 0 2104 [0.4, 0.37, 0.25, 0.65, 0.54, 0.59, 0.69, 0.86]
           4 3 5   1 2       7     8             6                                                                                                               4.093 2113 2113 0 2104 [0.51, 0.51, 0.36, 0.33, 0.46, 0.73, 0.59, 0.61]
   7             1   3 2               4     5                                         6                   8                                                     4.683 2109 2109 0 2040 [0.49, 0.52, 0.5, 0.62, 0.68, 0.84, 0.15, 0.88]
     6           2 3   1   8   7 4                                         5                                                                                     4.259 2108 2108 0 2085 [0.52, 0.49, 0.5, 0.6, 0.81, 0.18, 0.59, 0.56]
 7                 2 1         4     3 8       5                                               6                                                                 4.383 2093 2093 0 2060 [0.48, 0.48, 0.59, 0.57, 0.69, 0.85, 0.13, 0.6]
           5 4 6           1 8       2   3           7                                                                                                           3.94 2076 2076 0 2082 [0.52, 0.56, 0.61, 0.31, 0.29, 0.41, 0.71, 0.54]
 5         6         8   1             2         3           7                                                                     4                             4.168 2065 2065 0 2048 [0.48, 0.56, 0.67, 0.9, 0.12, 0.27, 0.73, 0.44]
       4         7       8     1 2 6       3     5                                                                                                               3.798 2048 2048 0 2072 [0.5, 0.51, 0.59, 0.16, 0.65, 0.52, 0.41, 0.46]
                     7 4     1   3 2 5             6                           8                                                                                 4.302 2046 2046 0 2017 [0.5, 0.52, 0.51, 0.43, 0.52, 0.65, 0.41, 0.76]
                     4       2 3   1   5 6 8                     7                                                                                               4.248 2039 2039 0 2016 [0.51, 0.49, 0.49, 0.4, 0.52, 0.55, 0.71, 0.58]
     3         4 8           6 2 1           7                                                                                                         5         3.874 2035 2035 0 2026 [0.49, 0.48, 0.13, 0.35, 0.96, 0.48, 0.58, 0.39]
                       3 2     5       1     6 8 4                 7                                                                                             4.346 2031 2031 0 2000 [0.51, 0.44, 0.41, 0.62, 0.48, 0.58, 0.7, 0.61]
                   4   8   2     5   1     7   3                                                                         6                                       4.173 2022 2022 0 2000 [0.49, 0.44, 0.6, 0.38, 0.48, 0.85, 0.55, 0.4]
         4     7         3       6         1 2           8                                         5                                                             3.793 2001 2001 0 2022 [0.52, 0.53, 0.39, 0.17, 0.77, 0.45, 0.31, 0.65]
                             3   8     7 1     2   5 4     6                                                                                                     4.085 1985 1985 0 1977 [0.48, 0.54, 0.41, 0.59, 0.57, 0.63, 0.45, 0.42]
                   5               7 6   2     1   4 3       8                                                                                                   3.912 1977 1977 0 1985 [0.53, 0.47, 0.58, 0.56, 0.32, 0.42, 0.42, 0.62]
                       5             8 3   2 1                           7                         4               6                                             4.142 1954 1954 0 1938 [0.47, 0.46, 0.4, 0.72, 0.31, 0.78, 0.62, 0.39]
                 6         3 5       4             1 2             8                                                                                           7 3.923 1944 1944 0 1925 [0.51, 0.53, 0.33, 0.38, 0.35, 0.27, 0.96, 0.58]
                               6           5 4   1     2 7   3                                                             8                                     4.141 1936 1936 0 1921 [0.49, 0.54, 0.56, 0.44, 0.43, 0.35, 0.56, 0.78]
         6               7                 4 3   2     1                                                                           5                       8     3.985 1923 1923 0 1907 [0.52, 0.47, 0.42, 0.41, 0.79, 0.12, 0.29, 0.95]
                                                   2 1   5     7             4     6               3     8                                                       4.501 1907 1907 0 1862 [0.48, 0.46, 0.66, 0.58, 0.51, 0.6, 0.53, 0.68]
             6                           8         7   5   1     2             3 4                                                                               3.602 1897 1897 0 1940 [0.5, 0.52, 0.57, 0.59, 0.49, 0.14, 0.44, 0.35]
                                           6             1     3 4 2   7       5           8                                                                     4.142 1896 1896 0 1884 [0.5, 0.52, 0.51, 0.51, 0.57, 0.37, 0.53, 0.63]
                           7                 8     3           1 6 5 2 4                                                                                         3.658 1893 1893 0 1924 [0.51, 0.52, 0.44, 0.52, 0.51, 0.51, 0.27, 0.38]
                                                       7   3 1     4   2     5       8                         6                                                 4.302 1889 1889 0 1862 [0.49, 0.52, 0.49, 0.51, 0.56, 0.68, 0.47, 0.59]
                                 7                       2 4 6     1 3 5                                       8                                                 3.947 1886 1886 0 1891 [0.5, 0.48, 0.51, 0.49, 0.51, 0.49, 0.29, 0.67]
                                     7           8         2 5 4 1     3       6                                                                                 3.749 1885 1885 0 1908 [0.5, 0.48, 0.51, 0.49, 0.49, 0.56, 0.3, 0.42]
       8                                                     2   3     1             5   4                   7         6                                         4.074 1880 1880 0 1891 [0.5, 0.48, 0.49, 0.59, 0.57, 0.71, 0.66, 0.07]
                                                           7 4 2 5 3 1       6           8                                                                       4.041 1878 1878 0 1874 [0.5, 0.48, 0.49, 0.48, 0.49, 0.54, 0.47, 0.59]
   6                                           7                           1 8           2 5                     3               4                               4.066 1871 1871 0 1891 [0.53, 0.58, 0.67, 0.74, 0.6, 0.04, 0.38, 0.53]
                     5                                                   1       8 4 3     2         7                                       6                   4.196 1852 1852 0 1836 [0.47, 0.57, 0.53, 0.53, 0.19, 0.79, 0.59, 0.52]
                                                       4       5       6 8     1 2           3                 7                                                 3.994 1848 1848 0 1848 [0.5, 0.52, 0.57, 0.42, 0.44, 0.46, 0.62, 0.47]
                               8                         3 5       6         1     2                     4       7                                               3.79 1846 1846 0 1866 [0.5, 0.52, 0.43, 0.6, 0.43, 0.44, 0.64, 0.24]
                                                         4                 8 2     1 7       5                 3 6                                               4.159 1835 1835 0 1821 [0.5, 0.48, 0.6, 0.41, 0.55, 0.62, 0.51, 0.48]
                                                       6                   4   2 1               7     3     8                   5                               4.267 1833 1833 0 1809 [0.5, 0.48, 0.57, 0.47, 0.69, 0.4, 0.56, 0.6]
                                                               8     5     3     7     1         2   4                                     6                     4.149 1828 1828 0 1813 [0.5, 0.55, 0.47, 0.56, 0.43, 0.75, 0.49, 0.41]
               8   6                                                                 1   7     5   2     3           4                                           3.613 1827 1827 0 1874 [0.5, 0.55, 0.57, 0.63, 0.54, 0.16, 0.51, 0.14]
                                                                     4 8 2             7   1 6   3     5                                                         3.87 1818 1818 0 1830 [0.52, 0.42, 0.53, 0.41, 0.55, 0.53, 0.49, 0.41]
           7                                               8             5 2             1                   6                               3       4           3.885 1803 1803 0 1823 [0.48, 0.43, 0.74, 0.83, 0.4, 0.56, 0.08, 0.37]
                                                                             3   5       6     1     2 7   4         8                                           4.045 1800 1800 0 1796 [0.51, 0.52, 0.43, 0.55, 0.45, 0.47, 0.52, 0.6]
                       6                                                               5     1   8     2           3         7                 4                 4.068 1796 1796 0 1795 [0.49, 0.52, 0.59, 0.73, 0.46, 0.15, 0.62, 0.5]
                                                                                   7 2   3     8   1   4           5 6                                           4.049 1794 1794 0 1790 [0.5, 0.45, 0.47, 0.52, 0.59, 0.59, 0.44, 0.5]
                                         5     4       3                               2         1                 7                             8           6   4.072 1793 1793 0 1774 [0.5, 0.45, 0.34, 0.28, 0.23, 0.91, 0.59, 0.77]
                                                                           7         4       2         1 6 3                   5         8                       4.193 1787 1787 0 1769 [0.51, 0.48, 0.53, 0.44, 0.63, 0.51, 0.41, 0.69]
                                                                                   3     5   7 2 4   1                 8   6                                     3.98 1783 1783 0 1785 [0.49, 0.48, 0.43, 0.48, 0.45, 0.59, 0.48, 0.58]
                                                       8                       4       3             6     1 2                                 5   7             4.152 1778 1778 0 1762 [0.51, 0.52, 0.43, 0.4, 0.71, 0.49, 0.76, 0.32]
                   8                                                                         4       3   1     2           5           6 7                       3.912 1768 1768 0 1785 [0.49, 0.51, 0.47, 0.45, 0.57, 0.64, 0.66, 0.12]
                                                                     7             8       6             2     1           3 4                     5             4.046 1763 1763 0 1758 [0.5, 0.48, 0.56, 0.58, 0.75, 0.44, 0.34, 0.4]
                                                               6 8           7   3                         2 1   5                         4                     3.596 1761 1761 0 1797 [0.5, 0.49, 0.4, 0.67, 0.52, 0.32, 0.38, 0.33]
                                                                         3     7 6                             5     1       2           4         8             3.996 1748 1748 0 1748 [0.52, 0.56, 0.33, 0.64, 0.48, 0.38, 0.36, 0.73]
                                               6                                               3 5 7                   1 2 4                                 8   3.863 1733 1733 0 1739 [0.51, 0.51, 0.41, 0.52, 0.41, 0.22, 0.41, 0.87]
                                                                                       4     8   6               1     7     5 2       3                         3.849 1733 1733 0 1746 [0.48, 0.55, 0.59, 0.37, 0.53, 0.41, 0.51, 0.4]
                                                                     6                                 8           1 7   3 2   4       5                         3.843 1728 1728 0 1743 [0.49, 0.51, 0.5, 0.55, 0.58, 0.29, 0.49, 0.42]
   5                                   6                                                                           2   3   1       8                     7 4     3.94 1726 1726 0 1766 [0.51, 0.49, 0.5, 0.86, 0.02, 0.15, 0.86, 0.55]
                                                   8                                                   6   5 3     4   2 1                 7                     3.588 1721 1721 0 1760 [0.49, 0.49, 0.44, 0.48, 0.43, 0.41, 0.61, 0.22]
                                                                                               7             4   2   5         1 8   6   3                       3.882 1709 1709 0 1720 [0.52, 0.44, 0.58, 0.42, 0.47, 0.54, 0.38, 0.53]
                                                                                                     5               2 4     1   6 7   8   3                     3.876 1695 1695 0 1706 [0.48, 0.45, 0.58, 0.45, 0.37, 0.51, 0.51, 0.53]
                                                                         4         5                                         8 6   1   7     2     3             3.826 1691 1691 0 1708 [0.5, 0.6, 0.66, 0.26, 0.31, 0.49, 0.53, 0.47]
                           4                         5                                                                   8     7 1             2 3             6 3.825 1688 1688 0 1713 [0.5, 0.59, 0.65, 0.1, 0.21, 0.84, 0.49, 0.45]
 4                                                                                                                           6         1 2   5 8 7       3       4.152 1680 1680 0 1711 [0.51, 0.54, 0.82, 0.01, 0.58, 0.46, 0.64, 0.58]
                                                                                                           6         3 5       8 7   1     2     4               3.791 1671 1671 0 1689 [0.49, 0.54, 0.41, 0.63, 0.42, 0.36, 0.47, 0.47]
                                                                                                     8     7     4           3       2     1     6           5   3.806 1650 1650 0 1664 [0.51, 0.46, 0.42, 0.36, 0.81, 0.6, 0.34, 0.31]
                                                                                     6                         4           7   3       2 1               8 5     3.92 1641 1641 0 1644 [0.49, 0.46, 0.42, 0.33, 0.79, 0.25, 0.39, 0.78]
                                                                           6               3                                     2   5         1     8 4   7     3.917 1624 1624 0 1632 [0.5, 0.4, 0.26, 0.7, 0.42, 0.21, 0.78, 0.64]
                                                                                               4         5                         2 8       1       7 3 6       3.975 1622 1622 0 1623 [0.5, 0.41, 0.69, 0.27, 0.29, 0.76, 0.64, 0.42]
                                                                                                   8                               3 7 4 6         1 2         5 3.524 1579 1579 0 1623 [0.51, 0.58, 0.35, 0.37, 0.74, 0.4, 0.36, 0.23]
                                                                                                         7   5   8               3               1   6 2     4   3.532 1575 1575 0 1620 [0.49, 0.63, 0.34, 0.73, 0.25, 0.57, 0.24, 0.27]
                                                                                           4                                                 8 7 2 6   1 5     3 3.622 1524 1524 0 1562 [0.56, 0.42, 0.67, 0.17, 0.65, 0.43, 0.36, 0.36]
                                   5                                                                                                         4 3   2 1     6 7 8 3.284 1480 1480 0 1573 [0.44, 0.37, 0.31, 0.3, 0.04, 0.6, 0.61, 0.61]
                                                                                                                         7           3     8   6     5     1 2 4 2.691 1417 1417 0 1550 [0.52, 0.52, 0.18, 0.52, 0.35, 0.24, 0.14, 0.22]
                                                     8                                                                   4                 5 7         6 1   3 2 2.509 1406 1406 0 1576 [0.48, 0.51, 0.51, 0.14, 0.21, 0.4, 0.22, 0.05]
                                                                                                   6               8                     5         4   7 2 3   1 2.535 1400 1400 0 1557 [0.5, 0.48, 0.49, 0.27, 0.19, 0.09, 0.39, 0.13]
