 1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 0
   1 6 5 8 7 3       4       2                                                                                                                                   5.636 2416 2416 0 2249 [0.5, 0.89, 0.76, 0.85, 0.61, 0.57, 0.74, 0.7]
 1   5 6 7     4     8         2                                                                         3                                                       5.913 2413 2413 0 2183 [0.5, 0.89, 0.97, 0.83, 0.57, 0.61, 0.69, 0.85]
 6 5   1 2     7         8                   3                                                             4                                                     5.537 2366 2366 0 2175 [0.54, 0.63, 0.9, 0.97, 0.43, 0.43, 0.79, 0.84]
 5 6 1     2 7     8                                 4                             3                                                                             5.187 2335 2335 0 2188 [0.46, 0.64, 0.95, 0.91, 0.39, 0.39, 0.67, 0.79]
 8 7 2     1 5                 6     4                                                                       3                                                   4.652 2272 2272 0 2185 [0.55, 0.37, 0.95, 0.8, 0.58, 0.79, 0.31, 0.3]
 7     2 1       6 5   8                 4 3                                                                                                                     4.706 2235 2235 0 2166 [0.45, 0.36, 0.81, 0.79, 0.67, 0.67, 0.26, 0.69]
 3     7 5     1 4         8 6                                                                                                                       2           4.63 2213 2213 0 2114 [0.6, 0.98, 0.24, 0.64, 0.42, 0.72, 0.33, 0.7]
   4 7       1   8       5         6                                                                                                         3         2         4.496 2141 2141 0 2040 [0.4, 0.98, 0.95, 0.17, 0.59, 0.65, 0.21, 0.54]
           6 4 8   1           7 2             3                                       5                                                                         4.409 2113 2113 0 2070 [0.51, 0.6, 0.71, 0.36, 0.84, 0.33, 0.6, 0.46]
       8   5     1     4   6       2     7                                       3                                                                               4.205 2109 2109 0 2089 [0.49, 0.6, 0.83, 0.52, 0.33, 0.56, 0.65, 0.21]
 4 8                   1         6 7     2         5                                                                             3                               4.311 2108 2108 0 2078 [0.52, 0.65, 0.92, 0.15, 0.73, 0.6, 0.6, 0.15]
