 1 2 3 4 5 6 7 8 9 0 1 2 3 4
                                                             8 6 2 3   1 4 5 7                                                                                   4.054 1880 1880 0 1875 [0.5, 0.49, 0.49, 0.51, 0.54, 0.49, 0.55, 0.48]
                                                             7 8 3 2 1   5 4 6                                                                                   4.029 1878 1878 0 1876 [0.5, 0.49, 0.49, 0.54, 0.51, 0.54, 0.48, 0.48]
                                                               7   6 4 5   1 2 3 8                                                                               4.079 1871 1871 0 1864 [0.53, 0.53, 0.54, 0.49, 0.49, 0.48, 0.47, 0.55]
                                                                     5 4 1   3 2 6 7 8                                                                           3.996 1852 1852 0 1852 [0.47, 0.51, 0.51, 0.46, 0.46, 0.52, 0.53, 0.53]
                                                                     7 6 2 3   1 4 5   8                                                                         3.946 1848 1848 0 1853 [0.5, 0.47, 0.49, 0.52, 0.52, 0.46, 0.45, 0.53]
                                                                         3 2 1   5 4 6 7 8                                                                       4.081 1846 1846 0 1839 [0.5, 0.49, 0.46, 0.52, 0.52, 0.53, 0.53, 0.54]
                                                                         8 6 4 5   1 2 3 7                                                                       3.938 1835 1835 0 1840 [0.5, 0.51, 0.51, 0.48, 0.48, 0.48, 0.52, 0.45]
                                                                           7 5 4 1   3 2 6 8                                                                     4.01 1833 1833 0 1832 [0.5, 0.51, 0.51, 0.48, 0.48, 0.52, 0.47, 0.54]
                                                                           8   6 2 3   1 4 5 7                                                                   4.014 1828 1828 0 1827 [0.5, 0.49, 0.49, 0.51, 0.54, 0.47, 0.54, 0.47]
                                                                             8 7 3 2 1   5 4 6                                                                   4.007 1827 1827 0 1826 [0.5, 0.49, 0.49, 0.53, 0.51, 0.54, 0.47, 0.47]
                                                                               8 7 6 4 5   1 2 3                                                                 3.966 1818 1818 0 1821 [0.52, 0.53, 0.53, 0.49, 0.49, 0.48, 0.48, 0.46]
                                                                                   8 5 4 1   3 2 6 7                                                             3.907 1803 1803 0 1811 [0.48, 0.51, 0.5, 0.47, 0.46, 0.51, 0.51, 0.46]
                                                                                     7 6 2 3   1 4 5 8                                                           3.934 1800 1800 0 1806 [0.51, 0.47, 0.5, 0.51, 0.51, 0.46, 0.46, 0.52]
                                                                                         3 2 1   5 4 6 8 7                                                       4.017 1796 1796 0 1794 [0.49, 0.49, 0.47, 0.5, 0.5, 0.51, 0.53, 0.52]
                                                                                           6 4 5   1 2 3 8 7                                                     4.063 1794 1794 0 1788 [0.5, 0.51, 0.52, 0.49, 0.5, 0.49, 0.54, 0.52]
                                                                                           7 5 4 1   3 2 6 8                                                     4.05 1793 1793 0 1789 [0.5, 0.51, 0.51, 0.5, 0.49, 0.52, 0.49, 0.54]
                                                                                             8 6 2 3   1 4 5 7                                                   4.03 1787 1787 0 1784 [0.51, 0.49, 0.49, 0.51, 0.53, 0.49, 0.53, 0.48]
                                                                                               8 3 2 1   5 4 6 7                                                 4.034 1783 1783 0 1780 [0.49, 0.49, 0.48, 0.52, 0.51, 0.53, 0.53, 0.48]
                                                                                               7 8 6 4 5   1 2 3                                                 3.97 1778 1778 0 1781 [0.51, 0.52, 0.52, 0.49, 0.49, 0.48, 0.47, 0.48]
                                                                                                 7 8 5 4 1   3 2 6                                               3.909 1768 1768 0 1776 [0.49, 0.51, 0.51, 0.48, 0.47, 0.53, 0.46, 0.46]
                                                                                                     7 6 2 3   1 4 8 5                                           4.019 1763 1763 0 1761 [0.5, 0.48, 0.49, 0.52, 0.54, 0.47, 0.47, 0.54]
                                                                                                       7 3 2 1   5 4 8 6                                         4.077 1761 1761 0 1754 [0.5, 0.49, 0.48, 0.54, 0.52, 0.55, 0.47, 0.54]
                                                                                                           6 4 5   2 1 7 8 3                                     4.073 1748 1748 0 1742 [0.52, 0.52, 0.54, 0.48, 0.48, 0.47, 0.53, 0.53]
                                                                                                             8 4 2   3 1 5 6   7                                 3.984 1733 1733 0 1734 [0.51, 0.48, 0.5, 0.46, 0.51, 0.52, 0.55, 0.46]
                                                                                                             5 8 1 3   4 2 7 6                                   3.964 1733 1733 0 1736 [0.48, 0.51, 0.5, 0.51, 0.46, 0.53, 0.52, 0.46]
                                                                                                               6 7 1 4   3 2 5   8                               4.003 1728 1728 0 1728 [0.49, 0.51, 0.5, 0.49, 0.53, 0.45, 0.47, 0.55]
                                                                                                                 8 5 2 3   1 4 6   7                             4.076 1726 1726 0 1719 [0.51, 0.49, 0.5, 0.52, 0.49, 0.54, 0.55, 0.47]
                                                                                                                 3 6 7 2 1     5 4   8                           4.049 1721 1721 0 1717 [0.49, 0.49, 0.46, 0.54, 0.54, 0.48, 0.48, 0.56]
                                                                                                                     6 5 4     1 2 8 7 3                         4.086 1709 1709 0 1702 [0.52, 0.53, 0.55, 0.48, 0.47, 0.47, 0.54, 0.53]
                                                                                                                   7     6 5 1   3 4 2 8                         3.915 1695 1695 0 1702 [0.48, 0.52, 0.51, 0.51, 0.46, 0.46, 0.45, 0.53]
                                                                                                                       8   4 2 3   1 5 7   6                     3.993 1691 1691 0 1692 [0.5, 0.47, 0.49, 0.46, 0.52, 0.57, 0.53, 0.45]
                                                                                                                         7   8 4 1   3 2 6 5                     4.059 1688 1688 0 1683 [0.5, 0.52, 0.51, 0.49, 0.57, 0.55, 0.45, 0.47]
                                                                                                                           8 7 2 5 3   1 4   6                   3.987 1680 1680 0 1681 [0.51, 0.48, 0.49, 0.54, 0.48, 0.58, 0.46, 0.44]
                                                                                                                             3 8 7 2 1   5 4   6                 3.988 1671 1671 0 1672 [0.49, 0.48, 0.45, 0.54, 0.53, 0.57, 0.47, 0.47]
                                                                                                                                   6 4 5   1 2 3   7   8         4.296 1650 1650 0 1623 [0.51, 0.54, 0.54, 0.46, 0.47, 0.45, 0.61, 0.73]
                                                                                                                                 6 5   4 1   3 2   8 7           4.113 1641 1641 0 1631 [0.49, 0.53, 0.52, 0.46, 0.43, 0.43, 0.66, 0.59]
                                                                                                                                     6   2 3   1 4       5 7   8 4.755 1624 1624 0 1549 [0.5, 0.46, 0.48, 0.56, 0.77, 0.42, 0.78, 0.78]
                                                                                                                                       6 3 2 1   5       4 8 7   4.744 1622 1622 0 1548 [0.5, 0.47, 0.46, 0.76, 0.56, 0.43, 0.78, 0.78]
                                                                                                                                             4 5   1 2 3 6   8 7 4.789 1579 1579 0 1505 [0.51, 0.58, 0.64, 0.44, 0.44, 0.72, 0.74, 0.74]
                                                                                                                                         7 8     1   3 2   4 6 5 4.691 1575 1575 0 1510 [0.49, 0.63, 0.57, 0.73, 0.73, 0.73, 0.39, 0.41]
                                                                                                                                           7     2 3   1 8 5 4 6 4.405 1524 1524 0 1487 [0.56, 0.42, 0.43, 0.67, 0.66, 0.67, 0.34, 0.65]
                                                                                                                                         8       3 2 1   7 6 5 4 3.859 1480 1480 0 1494 [0.44, 0.37, 0.36, 0.61, 0.61, 0.6, 0.59, 0.27]
                                                                                                                                             5 4 6   8 7   1 2 3 3.076 1417 1417 0 1504 [0.52, 0.52, 0.52, 0.24, 0.23, 0.28, 0.41, 0.35]
                                                                                                                                             7 8   4 5 6 1   3 2 2.953 1406 1406 0 1505 [0.48, 0.51, 0.51, 0.27, 0.34, 0.4, 0.22, 0.22]
                                                                                                                                               7 8 6 4 5 2 3   1 2.931 1400 1400 0 1500 [0.5, 0.48, 0.49, 0.33, 0.39, 0.27, 0.22, 0.26]
                                                                                                                                             8   7 5 6 4 3 2 1   2.929 1400 1400 0 1501 [0.5, 0.49, 0.48, 0.39, 0.27, 0.33, 0.26, 0.22]
