 1 2 3 4 5 6 7 8 9 0 1 2 3 4
   1 2 4 3 7 8   6                       5                                                                                                                       5.656 2416 2416 0 2244 [0.5, 0.57, 0.7, 0.61, 0.92, 0.85, 0.74, 0.76]
 1   3 2 7 4 5       6   8                                                                                                                                       5.588 2413 2413 0 2253 [0.5, 0.61, 0.57, 0.74, 0.76, 0.85, 0.69, 0.87]
 2 3   1 4 5 6                               7                                                                               8                                   5.306 2366 2366 0 2196 [0.54, 0.43, 0.43, 0.63, 0.68, 0.71, 0.9, 0.98]
 4 2 1   5 6   3       7                       8                                                                                                                 4.914 2335 2335 0 2236 [0.46, 0.39, 0.75, 0.39, 0.59, 0.64, 0.8, 0.9]
 3 7 4 5   1 2 6     8                                                                                                                                           3.927 2272 2272 0 2278 [0.55, 0.58, 0.3, 0.37, 0.41, 0.68, 0.31, 0.72]
 7 4 5 6 1   3 2             8                                                                                                                                   3.561 2235 2235 0 2276 [0.45, 0.63, 0.53, 0.26, 0.32, 0.36, 0.26, 0.75]
 8 5 6   2 3   1   4         7                                                                                                                                   3.623 2213 2213 0 2250 [0.6, 0.42, 0.47, 0.65, 0.24, 0.29, 0.72, 0.24]
       3 6 2 1     5 7 8     4                                                                                                                                   3.625 2141 2141 0 2177 [0.4, 0.37, 0.25, 0.63, 0.55, 0.32, 0.55, 0.57]
 6                 1 2 4 3     8 7         5                                                                                                                     4.12 2113 2113 0 2109 [0.51, 0.51, 0.55, 0.53, 0.68, 0.15, 0.6, 0.6]
             4 5 1   3 2   8 6         7                                                                                                                         4.1 2109 2109 0 2100 [0.49, 0.52, 0.5, 0.35, 0.45, 0.59, 0.62, 0.56]
   6     8     7 2 3   1 4 5                                                                                                                                     3.5 2108 2108 0 2160 [0.52, 0.49, 0.5, 0.55, 0.56, 0.15, 0.45, 0.28]
       7       8 4 2 1     6 3     5                                                                                                                             3.744 2093 2093 0 2119 [0.48, 0.48, 0.56, 0.47, 0.58, 0.54, 0.2, 0.43]
   8             3   4     1 2 7 6   5                                                                                                                           3.743 2076 2076 0 2108 [0.52, 0.54, 0.45, 0.45, 0.56, 0.55, 0.54, 0.13]
